ano,sede,campeao
1930,Uruguai,Uruguai
1934,Itália,Itália
1938,França,Itália
1950,Brasil,Uruguai
1954,Suíça,Alemanha Ocidental
1958,Suécia,Brasil
1962,Chile,Brasil
1966,Inglaterra,Inglaterra
1970,México,Brasil
1974,Alemanha Ocidental,Alemanha Ocidental
1978,Argentina,Argentina
1982,Espanha,Itália
1986,México,Argentina
1990,Itália,Alemanha Ocidental
1994,Estados Unidos,Brasil
1998,França,França
2002,Coreia do Sul e Japão,Brasil
2006,Alemanha,Itália
2010,África do Sul,Espanha
2014,Brasil,Alemanha
2018,Rússia,França
